 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
*************************************************************************************************************************************************************************************
$$SOE
 1990-Nov-05 20:00, , , 03 19 25.26, +19 36 49.3,     n.a.,   n.a.,  1.07304618597066, 11.2992377,   42.1199,/T,    0.1602,   3.0613306,  95.070672,  15.883887,        n.a.     n.a.
 1990-Nov-06 20:00, , , 03 24 24.31, +19 57 23.8,     n.a.,   n.a.,  1.07957532225427, 11.3008389,   29.2411,/T,    0.1143,   3.0458928,  95.079637,  15.870740,        n.a.     n.a.
 1990-Nov-07 20:00, , , 03 29 22.69, +20 17 24.9,     n.a.,   n.a.,  1.08608883229272, 11.2481630,   16.4683,/T,    0.0634,   3.0234666,  95.093895,  15.821083,        n.a.     n.a.
 1990-Nov-08 20:00, , , 03 34 19.66, +20 36 48.9,     n.a.,   n.a.,  1.09256079743521, 11.1603378,    4.8263,/T,    0.0178,   2.9936425,  95.116925,  15.763052,        n.a.     n.a.
 1990-Nov-09 20:00, , , 03 39 14.48, +20 55 32.2,     n.a.,   n.a.,  1.09897682765084, 11.0579981,   10.5968,/L,    0.0514,   2.9563584,  95.151661,  15.725125,        n.a.     n.a.
 1990-Nov-10 20:00, , , 03 44 06.39, +21 13 31.3,     n.a.,   n.a.,  1.10533464780883, 10.9622890,   23.2265,/L,    0.1022,   2.9119039,  95.200415,  15.735460,        n.a.     n.a.
 1990-Nov-11 20:00, , , 03 48 54.66, +21 30 43.2,     n.a.,   n.a.,  1.11164408810953, 10.8938154,   36.1438,/L,    0.1487,   2.8609073,  95.264801,  15.821117,        n.a.     n.a.
 1990-Nov-12 20:00, , , 03 53 38.66, +21 47 05.4,     n.a.,   n.a.,  1.11792647529658, 10.8716147,   49.1404,/L,    0.1876,   2.8043105,  95.345644,  16.007087,        n.a.     n.a.
 1990-Nov-13 20:00, , , 03 58 17.81, +22 02 36.0,     n.a.,   n.a.,  1.12421343862045, 10.9121706,   62.1823,/L,    0.2169,   2.7433279,  95.442881,  16.315050,        n.a.     n.a.
 1990-Nov-14 20:00, , , 04 02 51.68, +22 17 14.1,     n.a.,   n.a.,  1.13054506354524, 11.0285359,   75.2598,/L,    0.2351,   2.6793940,  95.555474,  16.761828,        n.a.     n.a.
 1990-Nov-15 20:00, , , 04 07 19.98, +22 30 59.4,     n.a.,   n.a.,  1.13696812835850, 11.2295609,   88.3689,/L,    0.2412,   2.6140858,  95.681218,  17.357607,        n.a.     n.a.
 1990-Nov-16 20:00, , , 04 11 42.58, +22 43 52.7,     n.a.,   n.a.,  1.14353284636281, 11.5193840,  101.5073,/L,    0.2349,   2.5490641,  95.816824,  18.103859,        n.a.     n.a.
 1990-Nov-17 20:00, , , 04 15 59.51, +22 55 55.5,     n.a.,   n.a.,  1.15029048383022, 11.8970936,  114.6722,/L,    0.2170,   2.4859660,  95.957919,  18.992585,        n.a.     n.a.
